# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
250000 994.27252307508547347 27783.937222956701589 1.0000083409730966544 27979.598164344308316 28065.936027121821098 27306.277477403975354 230.35435500650544327 2574.3458625194948581 2438.8877455890465171 5993.2081725682792239 5844.4904076239536153 11837.698580192232839 -469.94214110327430944 228.16941547428243098 -241.77272562899193531 1913.620677002446655 3355.6040177188697271 965.75620347595486237 0 6234.9808981972710171 -36.851475120300243304 17995.439298689721909 15196.785022227375521
251000 386.85996032769770636 1259.3519843475214657 0.79043411832989873833 2003.7802265397760948 815.74773671873322201 958.52798978405394337 1716.7427744024410003 -531.2035397919390789 -1450.0447525196118477 2747.5894106872788143 2274.0237457595580963 5021.6131564468369106 -694.51737144827939119 547.6728265286307078 -146.84454491964868339 824.11969561084197267 1328.6249403750584861 741.68931962102737998 0 2894.4339556069280661 -29.128420286500766423 5374.7253255112964325 19226.032158520461962
252000 370.20444732510054564 2716.7458261314623087 0.77314592842737939193 3780.561949591575285 1982.7765590620319927 2386.8989697407823769 -453.29299676737031177 -1094.7348987397599558 1123.5694495435056979 2503.6256894815151099 2176.1200184427525528 4679.7457079242676627 -692.36157997346731463 484.10805187241396652 -208.2535281010534618 698.77847522763647703 1326.3659779200490902 686.73476443488300447 0 2711.8792175825683444 -28.491330300383481244 5458.5328400304424576 19655.942325291347515
253000 374.9077648251957271 -857.69851016022994372 0.77876820094660870186 -207.39464136088034252 -594.02388052023275122 -1771.677008599579267 1312.956380911720089 -3165.4851532896236677 79.43739179786233251 2750.2982816991579966 2203.7668590979683358 4954.0651407971263325 -682.13603999839097014 554.36564688472549278 -127.7703931136654063 783.52566571986744748 1373.241557585748069 721.30145150720795755 0 2878.0686748128232466 -28.698517608101649756 4709.9708186217903858 19514.03737303377784
254000 361.18149368976003188 137.3463836388642676 0.76339388249593376212 -81.20483126063938073 2016.2687142547026724 -1523.0247320774694799 -1680.2484667553815143 -184.85509759849190914 2403.7555777541174393 2801.3533175151014802 2123.0816765934919204 4924.4349941085929458 -689.53432807430442608 649.6725185847535613 -39.861809489550964258 779.09587644581870336 1345.04879795343777 717.07045260539575793 0 2841.2151270046524587 -28.131956019899991617 4964.3099104715847716 19907.038982963487797
255000 363.67216029626888485 -382.14884119160967657 0.76901173865961425236 -343.89038986640679241 155.39033909414098389 -957.9464728025649265 -138.45143464316120685 -1665.0751600260909981 -1602.4285938875711963 2507.997731004661091 2137.722206983801243 4645.719937988462334 -694.76148894079915408 376.15545205502559156 -318.60603688577350567 750.60977747039532915 1370.5780798071725712 705.41591061286669628 0 2826.603767890434483 -28.338980579759006417 4535.5835550339552356 19761.612228040346963
256000 383.46728999127401494 1360.2180448466046983 0.77766403171919262771 2580.3200152673980483 -1061.4203085496983476 2561.7544278221184868 107.42722866606716536 322.9907483284061982 3558.5356931554106268 2895.1839345650382711 2254.0810954526446039 5149.265030017682875 -696.20419536710960529 844.10339363730622608 147.89919827019664922 701.26989561111827243 1339.1755770980432771 706.83926358568021442 0 2747.2847362948418777 -28.657827682682501802 5536.9221376356736073 19541.744453072333272
257000 372.72275173833787676 -267.64866897342329821 0.76716778654384842895 -1316.2618984588646072 1678.4270962301493455 -1165.1112046915536666 -777.60750957465893407 -2327.3211876538207434 -11.322529059686367248 2724.2623291457557571 2190.9230082117169331 4915.1853373574722355 -673.30137036851795074 572.00139333345600789 -101.29997703506198548 739.08862906235663104 1377.1051508867067241 709.36852623175423105 0 2825.5623061808173588 -28.271028791025880622 4837.8628241946535127 19809.110920396815345
258000 374.2905964644623964 1011.1086493666903152 0.77085311849704440945 1679.906781026123781 530.60069322252309121 822.81847385142577878 755.69783669887794986 -2581.1882938618441585 13.984809124763311061 2774.6555505818482743 2200.139046319798581 4974.79459690164731 -684.80002005640596963 644.17813873823956783 -40.621881318166373376 797.11051462380760313 1317.1308008804701331 701.03611639573659886 0 2815.2774319000145624 -28.406837577031698316 5265.5028915692746523 19714.40656273438799
259000 383.25418686908091104 -1223.2734954873537845 0.76070387827278185267 -2838.9019931921675379 -3457.7229375446172526 2626.8044442747236644 282.1592444612848567 -833.61933344409567326 1110.3918729565825743 2621.0360917833804706 2252.8284417539985043 4873.8645335373785201 -658.46512528170171663 494.53584319801183256 -163.92928208368999776 760.12847671057363641 1326.8138402938934632 698.0230568626029708 0 2784.9653738670704115 -28.032826223035975488 4517.463325598379015 19977.434337140213756
