# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
10000 1009.6673394402138229 22044.848449788270955 1.0000083409730966544 16517.538749621104216 27106.692854711996915 22510.313745031708095 -249.25394880291631239 -6.3335311000483489607 4900.9590185269862559 6463.3577034378013195 5934.9835616486170693 12398.341265086419298 -448.77845193102604071 321.4479081050556033 -127.33054382597049425 2115.9623354126761114 3514.3892500527972516 960.33666179829901921 0 6590.6882472637717001 -36.851475120300243304 17284.130483621145686 15196.785022227375521
11000 982.36722011552944878 24733.83732969508128 1.0000083409730966544 19424.130402018257882 26386.636851607490826 28390.744735459495132 131.33589924887945699 1098.5904477277535989 -1955.2680907609819769 6303.9834224351370722 5774.5091627115580195 12078.492585146694182 -430.65513995989698515 299.25746815992999927 -131.39767179996701429 2012.0250956717841291 3469.5955980337666915 953.76040052955295323 0 6435.3810942351037738 -36.851475120300243304 17560.24112307219184 15196.785022227375521
12000 990.83548044184601622 24611.570842619919858 1.0000083409730966544 23865.359424038382713 21968.75477314537784 28000.598330676006299 386.00205718947296418 1239.5836849984252694 140.13871583118856279 6043.0988670016577089 5824.2869299713320288 11867.385796972990647 -487.92099343409762469 272.68310269592529949 -215.23789073817229678 2006.9108036549996541 3349.023844112792176 902.40210997203803345 0 6258.3367577398303183 -36.851475120300243304 17322.036471844421612 15196.785022227375521
13000 995.1707682780390769 29228.422359710111778 1.0000083409730966544 31370.818029889713216 28358.157584116772341 27956.29146512382431 4565.8226363917292474 299.85654702313894404 1429.9686271990019577 6227.3870566568675713 5849.7704343274172061 12077.157490984285687 -389.35098319045818016 366.7020478366351881 -22.648935353822956529 1930.2779097702205036 3417.2479412410566511 902.51014099941312452 0 6250.0359920106911886 -36.851475120300243304 18555.03875948638597 15196.785022227375521
14000 1001.0322133927827508 28338.651490940679651 1.0000083409730966544 27322.746618165321706 33133.469760721702187 24559.738093935015058 933.31957822891683918 1383.8291330391220981 1902.5531039002969464 6138.3060773568049626 5884.2249314123637305 12022.531008769168693 -455.656244922511803 210.01697703435732478 -245.63926788815447821 2084.1928108617612452 3371.0268890048228059 928.7256453783750203 0 6383.9453452449597535 -36.851475120300243304 18303.212785176699981 15196.785022227375521
15000 1026.9245291326533334 25543.478963583052973 1.0000083409730966544 26108.180223506053153 29335.080065501420904 21187.176601741692139 -4196.9221439770981306 1919.5932839387101012 -763.69230372072490809 6237.8982506378633843 6036.4240392634183081 12274.322289901281692 -423.65553350882890982 282.06062463825867326 -141.59490887057015129 1977.8839668885395895 3456.866721892744863 944.74247072714922524 0 6379.493159508433564 -36.851475120300243304 17935.511315917981847 15196.785022227375521
16000 1002.232101875808894 26611.509537867757899 1.0000083409730966544 28034.920806156660547 31305.985766503432387 20493.622040943180764 2805.8219121453707885 -4782.5236392477081608 3174.3877012650159486 6052.7444830376061873 5891.2780648003572423 11944.02254783796343 -423.17803192571244608 252.87412075393609712 -170.30391117177640581 1926.115113365318166 3359.307325369364662 937.62595547470073143 0 6223.0483942093833321 -36.851475120300243304 17841.918679226295353 15196.785022227375521
17000 997.60004272875937659 25938.955603343558323 1.0000083409730966544 25227.697437608814653 25811.757184026722825 26777.412188395155681 -4383.7084484209108268 714.62835503148846783 1295.1082556199312421 6243.6661907025845721 5864.0500919617334148 12107.716282664317987 -395.34256154732054256 227.17147512322659964 -168.17108642409397135 1999.7004045522137403 3455.604670965762125 956.53220160870171185 0 6411.8372771266776908 -36.851475120300243304 17856.554607206489891 15196.785022227375521
18000 965.83624393169134237 24526.833759378805553 1.0000083409730966544 28295.910344425989024 20843.814688477337768 24440.776245233086229 -50.013507172769934073 4654.4186979396499737 -1141.2947322996462844 6285.4686247454901604 5677.3374824198308488 11962.806107165321009 -496.54501549846662556 372.58793123239769329 -123.95708426606901753 2036.322545032276139 3439.3065199517150177 933.79664402756770869 0 6409.4257090115588653 -36.851475120300243304 17398.676542805238569 15196.785022227375521
19000 999.42043268353438634 25136.307646880737593 1.0000083409730966544 25515.513662942921655 24095.554746962716308 25797.85453073658573 2212.1671789272204478 3202.629917570433463 2555.9784193446812424 6055.6330223066497638 5874.750630679139249 11930.383652985789013 -431.98779720558655981 169.85962411432052477 -262.12817309126603504 1986.819339257034926 3401.4085152551115243 929.53334088576946215 0 6317.7611953979157988 -36.851475120300243304 17501.331494819623913 15196.785022227375521
