# Time-averaged data for fix dave
# TimeStep v_rho
647000 0.800522
648000 0.800498
649000 0.800473
650000 0.800412
651000 0.800398
652000 0.800338
653000 0.800278
654000 0.800223
655000 0.800182
656000 0.800105
657000 0.800067
658000 0.800002
659000 0.799971
660000 0.799905
661000 0.799868
662000 0.799826
663000 0.799769
664000 0.799746
665000 0.799739
666000 0.799715
667000 0.799679
668000 0.799628
669000 0.799618
670000 0.799573
671000 0.799547
672000 0.799506
673000 0.799465
674000 0.799442
675000 0.799393
676000 0.799333
677000 0.79929
678000 0.799283
679000 0.799267
680000 0.799229
681000 0.799175
682000 0.799118
683000 0.799086
684000 0.799076
685000 0.799058
686000 0.799051
687000 0.799059
688000 0.799026
689000 0.798999
690000 0.798998
691000 0.798989
692000 0.79898
693000 0.798962
694000 0.798952
695000 0.798925
696000 0.798905
697000 0.798873
698000 0.798847
699000 0.798836
700000 0.798859
701000 0.798859
702000 0.798838
703000 0.798832
704000 0.798813
705000 0.798836
706000 0.798842
707000 0.798833
708000 0.798813
709000 0.798823
710000 0.798841
711000 0.798827
712000 0.798835
713000 0.798828
714000 0.798827
715000 0.798827
716000 0.79882
717000 0.798825
718000 0.798808
719000 0.79879
720000 0.79879
721000 0.79879
722000 0.798782
723000 0.798771
724000 0.798769
725000 0.798764
726000 0.798737
727000 0.798727
728000 0.798734
729000 0.798735
730000 0.798723
731000 0.798713
732000 0.798662
733000 0.798625
734000 0.798588
735000 0.798533
736000 0.798505
737000 0.798505
738000 0.798486
739000 0.798493
740000 0.79846
741000 0.79844
742000 0.798396
743000 0.798331
744000 0.798303
745000 0.798255
746000 0.798183
747000 0.798139
748000 0.798108
749000 0.798066
750000 0.798046
751000 0.798023
752000 0.797993
753000 0.797968
754000 0.797931
755000 0.797901
756000 0.797887
757000 0.797866
758000 0.797881
759000 0.797881
760000 0.797862
761000 0.797831
762000 0.797811
763000 0.797809
764000 0.797795
765000 0.797783
766000 0.797772
767000 0.79776
768000 0.79774
769000 0.797732
770000 0.797697
771000 0.79767
772000 0.797661
773000 0.797627
774000 0.797557
775000 0.797551
776000 0.797547
777000 0.797552
778000 0.797548
779000 0.797549
780000 0.797534
781000 0.797517
782000 0.797485
783000 0.797453
784000 0.797415
785000 0.797382
786000 0.797362
787000 0.797346
788000 0.797331
789000 0.797324
790000 0.797311
791000 0.79729
792000 0.797277
793000 0.797245
794000 0.797193
795000 0.79715
796000 0.797109
797000 0.797076
798000 0.797065
799000 0.797044
800000 0.79703
801000 0.797015
802000 0.797013
803000 0.797026
804000 0.797028
805000 0.797026
806000 0.797005
807000 0.797009
