# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
1250000 384.25373012156933328 -94.024084367560988085 0.81526596810854745634 631.27848967203715347 -1447.8371885454855601 534.48644577076458972 1407.67556220580218 -59.915709812581489757 -243.56721488772689099 189.44873737311030482 744.50179732263507049 933.95053469574531846 -691.56205608203345037 0 -691.56205608203345037 229.81015455761234989 269.79386379200286683 381.4067751055285953 0 881.01079345514381203 -24.653940335267218842 908.3912336784208037 18639.487648873928265
1251000 373.99032492345486389 2489.0018311883095521 0.81523017633251559921 3998.5733939814294899 3056.6494580904641225 411.78264149303424801 -2301.3930045535676072 -555.25188411720387194 -515.93380335146605375 153.13508992433273193 724.61617743748979592 877.75126736182255627 -692.58178180389666068 0 -692.58178180389666068 237.57065899476677373 251.89776218891699955 356.24845054454567617 0 845.71687172822942102 -24.652857978900950542 1554.3857754686896442 18640.305994890361035
1252000 378.75714063887505745 1591.442033363557357 0.81519438665155874446 1848.2030172757665696 1145.5665839536729891 1780.5564988612336492 -1950.001103462753008 1236.233149914453179 242.21879021864000947 205.4807467733748183 733.85200936165438179 939.33275613502917167 -688.74048074714073664 0 -688.74048074714073664 252.1389760785429246 262.25668173039099429 379.8255697115816929 0 894.22122752051564021 -24.651775685890516598 1371.9848578847033878 18641.124364858824265
1253000 369.78260863016276971 2507.3674247653034399 0.81515859906552334824 1367.9490807303418478 2019.5630031847581449 4134.5901903808107818 -2154.5061361144457805 535.38533477973908248 264.11352351708325159 172.50177670293660981 716.46361547800381686 888.96539218094039825 -699.30892991146242821 0 -699.30892991146242821 235.77956452469962301 249.49851505312324207 386.53262703657628663 0 871.81070661439912328 -24.650693456231273615 1570.6524343519399736 18641.942758779674477
1254000 362.05184610954455593 -568.57968926507214746 0.8151228135742558667 -2424.4770213064634845 2106.2221064131827006 -1387.4841529019358859 218.57745024991677951 809.63007582415843899 -84.887517794203944277 172.14082777725818119 701.48505797784946481 873.62588575510767441 -694.59940647547477965 0 -694.59940647547477965 236.16732839354193629 264.90716285976651534 365.66574299942453763 0 866.74023425273298926 -24.649611289918574641 719.03728462054061765 18642.761176653268194
1255000 390.0768945801640939 4991.644555377866709 0.81508703017760419929 6814.0814932047578623 3978.6038924068325286 4182.2482805220142836 740.37406774425676304 51.735891523455954655 -261.18999194771618022 142.84777971996797419 755.78433296427340338 898.63211268424140599 -701.18741580534560853 0 -701.18741580534560853 219.4797666624523913 257.35008969168984549 367.2053391711713175 0 844.03519552531361114 -24.648529186947822467 2255.8477154561460338 18643.579618479929195
1256000 376.71974777647682231 -1741.5915522241723465 0.81505124887541435807 993.94474775337982919 -3536.6122370109715121 -2682.1071674149270621 -727.83552257426549659 -358.97465806361032037 -667.04954076499780058 127.70010607858714025 729.90450663363174044 857.60461271221890911 -690.37013136977680006 0 -690.37013136977680006 224.00065253178513558 245.66616673657793513 348.40341818000081275 0 818.07023744836385504 -24.647447147314359484 384.04946053534843031 18644.398084260024916
1257000 369.79389571467237374 1427.4242434991983828 0.8150154696675332433 2247.8312366828113227 -122.73148090339141447 2157.1729747181734638 -773.16217087520601581 -192.6132987012323099 -782.12539338164538094 180.33076337134707501 716.48548450371572471 896.81624787506279972 -700.60974998670280911 0 -700.60974998670280911 219.77478650380268732 278.77661101719235148 382.38911583705493058 0 880.94051335804999781 -24.646365171013556505 1284.9633876771417818 18645.216573993904603
1258000 375.21518019839027147 1300.3950905173708179 0.81497969255380720011 -472.75739514561780652 2308.6079219570565328 2065.3347447406745232 -370.36364488611997103 -891.75814357777835539 -558.68436414377265464 156.51554282440631027 726.98936703114975444 883.50490985555609313 -689.00983338264677514 0 -689.00983338264677514 224.83987171455365228 247.39736438389135742 373.28814010860804729 0 845.52537620705300014 -24.645283258040766583 1237.1256328318158921 18646.035087681924779
1259000 408.57052488828628611 1396.6766830957885759 0.81494391753408368384 1578.1362306619544142 1460.7438946598713301 1151.1499239655393012 -1351.6488916107978184 1225.5867330676012443 -541.26602791494724443 137.51059163977271282 791.61623236850630292 929.12682400827907259 -695.99004156119667641 0 -695.99004156119667641 215.36777485215941397 253.81126559022487754 364.32159275858509773 0 833.50063320096933239 -24.644201408391378294 1308.9463906643086375 18646.853625324423774
