# step temp press density pxx pyy pzz pxy pxz pyz pe ke etotal evdwl ecoul epair ebond eangle edihed eimp emol etail enthalpy vol
12000 995.24617986814712367 44550.580150509842497 1.1703737670099627621 47498.145593976551027 40585.616238544527732 45567.978619008463284 -1335.9014373883633198 5980.782860541278751 3872.357212554400121 2061.7394564204055314 1928.3158798638023654 3990.0553362842078968 -87.404785573326805093 0 -87.404785573326805093 665.26807485823428578 716.22611949494421424 767.65004764055379383 0 2149.1442419937325212 -35.392529739428283619 12426.082292914054051 12984.005940195651419
13000 985.61478511398115643 44174.261458567940281 1.1703737670099627621 46853.479479945053754 44563.408221012636204 41105.896674746123608 -1607.3054215966474203 816.14127610614775676 -1073.9460200726514358 1853.8387885833521977 1909.6547969826244753 3763.4935855659769004 -212.53581434393433369 0 -212.53581434393433369 648.89779756702478153 662.21853623910647002 755.25826912115508094 0 2066.3746029272861051 -35.392529739428283619 12128.261433587576903 12984.005940195651419
14000 1010.525029618174699 41207.841543498550891 1.1703737670099627621 39285.267237962412764 40895.598734012746718 43442.658658520515019 -1417.1924436049291671 -1322.631852843325305 -2036.6454943591497795 1972.6097448961679675 1957.9190566405618483 3930.5288015367295884 -192.10424548321159932 0 -192.10424548321159932 708.63722840878585885 690.10967971367006157 765.96708225692373162 0 2164.7139903793795384 -35.392529739428283619 11733.580095393037482 12984.005940195651419
15000 1026.3863011221233137 43606.875261768444034 1.1703737670099627621 40512.709175781652448 45251.933793322423298 45055.982816201256355 2787.6277416054731475 -5157.6745692657123072 553.69463468018489039 1959.8743723189618322 1988.650691018648331 3948.5250633376099358 -126.30650971351388989 0 -126.30650971351388989 643.5050734273014541 707.00127424106290164 735.6745343641114232 0 2086.1808820324758926 -35.392529739428283619 12205.853564108296268 12984.005940195651419
16000 964.39082034192085757 40332.456145503354492 1.1703737670099627621 41262.253560868099157 41024.791472789089312 38710.323402852896834 4441.8408981283091634 -2047.3237487304668321 1869.6233080355252696 1954.097267437837445 1868.5328021119123605 3822.6300695497498054 -185.01956498356835823 0 -185.01956498356835823 618.95494047982413122 725.72649786098554614 794.43539408059632478 0 2139.1168324214058885 -35.392529739428283619 11459.919777586550481 12984.005940195651419
17000 1043.6915864489078558 40624.579696295077156 1.1703737670099627621 40990.76192716773221 40234.176949970133137 40648.80021174736612 -126.81852119948089808 2864.9355623239521265 -1668.4487557746035691 2005.4975476450028964 2022.1801404917764557 4027.6776881367795795 -168.65052993414610683 0 -168.65052993414610683 646.92003412963299525 761.85409852297436828 765.37394492654141231 0 2174.1480775791487758 -35.392529739428283619 11720.283446847213781 12984.005940195651419
18000 1068.2771117563836469 41960.616925561982498 1.1703737670099627621 42136.73083864722139 38726.262951370794326 45018.856986667924502 2225.4865783016962268 2192.3173741071809673 50.419406615972199859 1933.6914146810740931 2069.8152480904609547 4003.5066627715350478 -144.26234617211241584 0 -144.26234617211241584 577.30659075378093803 743.03616987785392212 757.61100022155164879 0 2077.9537608531863953 -35.392529739428283619 11949.102304960011679 12984.005940195651419
19000 999.1988270618005572 40117.50067634464358 1.1703737670099627621 40900.230864011195081 38190.312069966981653 41261.959095055761281 1820.1517951700816411 7092.3188274643443947 -4990.5678326560691858 2017.7403907178593272 1935.9742386751174763 3953.7146293929768035 -188.80874806646690445 0 -188.80874806646690445 688.9644403438419431 769.42540177845296512 748.15929666203135184 0 2206.5491387843262601 -35.392529739428283619 11550.300711883901386 12984.005940195651419
20000 974.63823306027893523 40860.062175657563785 1.1703737670099627621 40350.15030975175614 38256.199876294049318 43973.836340926893172 -945.5268582124186878 -672.81291709254981015 1163.7524893251331832 1988.0003147307620566 1888.3874361432090154 3876.387750873971072 -143.13808877404864006 0 -143.13808877404864006 660.81916573500780032 706.48775085743477575 763.83148691236806371 0 2131.1384035048108672 -35.392529739428283619 11613.584097114458928 12984.005940195651419
21000 987.94259527326937587 36597.620136555815407 1.1703737670099627621 32522.105498297012673 35463.264903995128407 41807.490007375301502 -2714.4542126221303988 -1251.2835533682077767 -797.17045156680921991 1900.4589417676063476 1914.1649909288685194 3814.6239326964750944 -221.21874162507006645 0 -221.21874162507006645 682.11972016913341577 725.62380033559236381 713.93416288795026503 0 2121.6776833926760446 -35.392529739428283619 10744.691037938220688 12984.005940195651419
