# Time-averaged data for fix dave
# TimeStep v_rho
607000 0.0173094
608000 0.017285
609000 0.017277
610000 0.0172564
611000 0.0172333
612000 0.0172016
613000 0.0171753
614000 0.0171499
615000 0.0171247
616000 0.0170977
617000 0.0170775
618000 0.0170529
619000 0.0170376
620000 0.0170098
621000 0.0169783
622000 0.016953
623000 0.0169435
624000 0.0169109
625000 0.0168933
626000 0.0168648
627000 0.0168368
628000 0.0168168
629000 0.016788
630000 0.0167679
631000 0.0167423
632000 0.0167153
633000 0.0166923
634000 0.016668
635000 0.016648
636000 0.016623
637000 0.0165968
638000 0.0165703
639000 0.0165478
640000 0.0165228
641000 0.0164932
642000 0.0164758
643000 0.0164503
644000 0.0164238
645000 0.0164107
646000 0.0163878
647000 0.0163651
648000 0.0163423
649000 0.0163178
650000 0.0163009
651000 0.0163118
652000 0.016292
653000 0.0162664
654000 0.0162421
655000 0.0162346
656000 0.0162207
657000 0.0161929
658000 0.0161899
659000 0.0162138
660000 0.0162131
661000 0.0161944
662000 0.0161711
663000 0.0161484
664000 0.0161546
665000 0.0161604
666000 0.0161572
667000 0.0161367
668000 0.016129
669000 0.0161185
670000 0.0161151
671000 0.0161071
672000 0.0160886
673000 0.0160779
674000 0.0160688
675000 0.0160465
676000 0.0160262
677000 0.0160215
678000 0.0159997
679000 0.0159817
680000 0.0159635
681000 0.0159425
682000 0.0159222
683000 0.0158986
684000 0.0158767
685000 0.0158558
686000 0.0158326
687000 0.0158127
688000 0.0157896
689000 0.0157724
690000 0.0157514
691000 0.0157283
692000 0.0157205
693000 0.0156982
694000 0.0156785
695000 0.0156603
696000 0.0156373
697000 0.0156255
698000 0.0156001
699000 0.0155885
700000 0.0155632
701000 0.0155413
702000 0.015517
703000 0.0155082
704000 0.0154831
705000 0.0154683
706000 0.0154449
707000 0.0154221
708000 0.0154012
709000 0.0153787
710000 0.0153593
711000 0.0153382
712000 0.0153177
713000 0.0152963
714000 0.0152781
715000 0.0152556
716000 0.0152412
717000 0.0152162
718000 0.015205
719000 0.0151805
720000 0.0151763
721000 0.0151499
722000 0.0151336
723000 0.0151095
724000 0.0150946
725000 0.0150711
726000 0.0150538
727000 0.0150334
728000 0.0150168
729000 0.0149992
730000 0.0149769
731000 0.0149593
732000 0.0149396
733000 0.0149184
734000 0.0149011
735000 0.0148781
736000 0.0148605
737000 0.0148403
738000 0.0148284
739000 0.0148092
740000 0.0147891
741000 0.0147728
742000 0.0147536
743000 0.0147361
744000 0.0147175
745000 0.0147024
746000 0.0146819
747000 0.0146671
748000 0.0146484
749000 0.0146323
750000 0.014614
751000 0.0146013
752000 0.0145847
753000 0.0145716
754000 0.0145663
755000 0.0145511
756000 0.0145422
757000 0.0145244
758000 0.0145101
759000 0.0145039
760000 0.0144836
761000 0.014468
762000 0.0144507
763000 0.0144379
764000 0.0144193
765000 0.0144049
766000 0.0143873
767000 0.0143728
768000 0.014355
769000 0.0143421
770000 0.0143255
771000 0.0143097
772000 0.0142961
773000 0.0142794
774000 0.0142663
775000 0.0142483
776000 0.0142361
777000 0.0142192
778000 0.0142049
779000 0.0141866
780000 0.0141786
781000 0.0141625
782000 0.0141531
783000 0.0141421
784000 0.0141265
785000 0.0141097
786000 0.0140954
787000 0.0140783
788000 0.0140647
789000 0.0140474
790000 0.0140349
791000 0.0140255
792000 0.014007
793000 0.0139934
794000 0.0139756
795000 0.0139602
796000 0.0139441
797000 0.0139269
798000 0.0139131
799000 0.0138977
800000 0.0138817
801000 0.0138647
802000 0.0138489
803000 0.0138322
804000 0.0138181
805000 0.013802
806000 0.0137879
807000 0.0137711
808000 0.0137559
809000 0.0137399
810000 0.013725
811000 0.0137102
812000 0.013695
813000 0.0136795
814000 0.0136656
815000 0.0136517
816000 0.0136359
817000 0.0136215
818000 0.0136052
819000 0.0135904
820000 0.0135728
821000 0.013562
822000 0.0135448
823000 0.0135328
824000 0.0135157
825000 0.0135035
826000 0.0134865
827000 0.0134739
